,economicActivityFemale,country,region,totalfertitlyrate,contraception,educationMale,lifeMale,infantMortality,gdpPerCapita,economicActivityMale,illiteracyMale,illiteracyFemale,educationFemale,lifeFemale
179,56.8,Switzerland,west,1.46,71.0,14.5,75.3,5.0,42416.0,78.5,,,13.5,81.8
89,34.6,Italy,west,1.19,,,75.1,7.0,19121.0,61.6,1.4,2.4,,81.4
64,,Gabon,other,5.4,,,53.8,85.0,5007.0,,26.3,46.7,,57.2
12,67.0,Bahamas,west,1.95,62.0,12.1,70.5,14.0,12545.0,81.2,1.5,2.0,13.2,77.1
0,7.2,Afghanistan,other,6.9,,,45.0,154.0,2848.0,87.5,52.8,85.0,,46.0
11,,Azerbaijan,other,2.3,17.0,,66.5,33.0,321.0,,0.3,0.5,,74.5
165,76.0,Sierra.Leone,other,6.06,,,36.0,169.0,293.0,80.0,54.6,81.8,,39.1
105,,Liberia,other,6.33,6.0,,50.0,153.0,1124.0,,46.1,77.6,,53.0
29,84.7,Cambodia,other,4.5,,,52.6,102.0,130.0,77.3,,,,55.4
77,39.3,Guyana,west,2.32,,9.4,61.1,58.0,726.0,81.2,1.4,2.5,9.7,67.9
50,42.9,Dominican.Republic,west,2.8,64.0,11.1,68.9,34.0,1508.0,82.6,18.0,17.8,11.3,73.1
40,43.6,Cook.Islands,other,3.5,38.0,,67.0,26.0,5432.0,71.4,3.102,4.104,,73.0
51,,East.Timor,other,4.32,,,46.6,135.0,,,,,,48.4
102,51.5,Latvia,west,1.4,47.0,11.1,62.5,16.0,1764.0,69.8,0.2,0.3,11.7,74.3
129,38.9,Myanmar,other,3.3,17.0,,58.5,78.0,2399.0,73.8,11.3,22.3,,61.8
201,59.5,Virgin.Islands,west,3.03,,,,12.0,,72.3,,,,
187,20.3,Tunisia,other,2.92,60.0,,68.4,37.0,2030.0,75.4,21.4,45.4,,70.7
206,46.7,Zimbabwe,other,4.68,48.0,,47.6,68.0,786.0,77.7,9.6,20.1,,49.4
117,27.4,Malta,west,2.1,,13.7,74.6,8.0,8793.0,74.1,10.758,11.088,13.1,79.1
107,,Liechtenstein,west,1.45,,,66.1,,42416.0,,,,,72.9
7,41.3,Argentina,west,2.62,,,69.6,22.0,8055.0,76.2,3.8,3.8,,76.8
28,90.6,Burundi,other,6.28,9.0,5.1,45.5,114.0,205.0,90.1,50.7,77.5,4.0,48.8
24,53.6,Brazil,west,2.17,74.0,,63.4,42.0,4510.0,84.0,16.7,16.8,,71.2
106,,Libya,other,5.92,40.0,,63.9,56.0,5498.0,,12.1,37.0,,67.5
170,,Somalia,other,7.0,,,47.4,112.0,119.0,,,,,50.6
200,74.1,Viet.Nam,other,2.97,65.0,,64.9,37.0,270.0,81.6,3.5,8.8,,69.6
169,85.0,Solomon.Islands,other,4.98,,,69.6,23.0,686.0,87.0,,,,73.9
184,50.8,Togo,other,6.08,12.0,,48.8,86.0,322.0,77.5,33.0,63.0,,51.5
135,56.2,New.Zealand,other,2.02,69.0,16.0,74.7,7.0,16866.0,74.4,,,16.7,79.7
193,24.2,United.Arab.Emirates,other,3.46,,9.8,73.9,15.0,17690.0,92.5,21.1,20.2,10.3,76.5
136,33.4,Nicaragua,west,3.85,49.0,8.9,65.8,44.0,464.0,84.5,35.4,33.4,9.4,70.6
37,50.2,Colombia,west,2.69,72.0,,68.2,24.0,2215.0,79.0,8.8,8.6,,73.7
180,,Syria,other,4.0,36.0,9.8,66.7,33.0,3573.0,,14.3,44.2,8.5,71.2
137,,Niger,other,7.1,4.0,,46.9,114.0,207.0,,79.1,93.4,,50.2
